BirdID,FinalSB,SB_ROC,BodyMass,Stage,EP,Tissue,SiteEuth,DNAm,TLR4_RQ_proximal_intestine,TLR4_RQ_medial_intestine,TLR4_RQ_distal_intestine,TLR4_RQ_cecum
3160,1.5291535,0.077783208,23.5,Female,high,blood,CG05,0,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,spleen,CG01,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,spleen,CG02,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,spleen,CG03,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,spleen,CG04,NA,0.366021424,0.632878297,0.829319546,3.580100284
3160,1.5291535,0.077783208,23.5,Female,high,spleen,CG05,NA,0.366021424,0.632878297,0.829319546,3.580100284
3162,2.7850945,0.113145861,20.4,Male,low,liver,CG01,1,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,liver,CG02,1,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,liver,CG03,1,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,liver,CG04,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,liver,CG05,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,blood,CG01,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,blood,CG02,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,blood,CG03,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,blood,CG04,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,blood,CG05,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,spleen,CG01,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,spleen,CG02,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,spleen,CG03,1,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,spleen,CG04,0,0.547146851,0.655196702,6.408559021,14.92852786
3162,2.7850945,0.113145861,20.4,Male,low,spleen,CG05,0,0.547146851,0.655196702,6.408559021,14.92852786
3163,2.954923,0.014174317,19.6,Female,low,liver,CG01,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,liver,CG02,1,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,liver,CG03,1,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,liver,CG04,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,liver,CG05,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,blood,CG01,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,blood,CG02,1,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,blood,CG03,1,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,blood,CG04,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,blood,CG05,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,spleen,CG01,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,spleen,CG02,1,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,spleen,CG03,1,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,spleen,CG04,0,0,0,NA,6.147500725
3163,2.954923,0.014174317,19.6,Female,low,spleen,CG05,0,0,0,NA,6.147500725
3166,3.181361,0.381346167,21.3,Female,low,liver,CG01,1,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,liver,CG02,1,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,liver,CG03,1,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,liver,CG04,0,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,liver,CG05,0,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,blood,CG01,0,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,blood,CG02,0,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,blood,CG03,1,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,blood,CG04,0,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,blood,CG05,0,0.716977624,0.083042863,NA,NA
3166,3.181361,0.381346167,21.3,Female,low,spleen,CG01,NA,0.716977624,0.083042863,NA,NA
