,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,Capture,Capture,Capture,Capture,6h,6h,6h,6h,6h,d01,d01,d01,d01,d01,d06,d06,d06,d06,d06,d09,d09,d09,d09,d09,d12,d12,d12,d12,d12,Euth,Euth,Euth,Euth,Euth
Bird ID,Stage,Body Mass,Epigenetic Potential,EP Count,Average Salmo Burden,Final Salmo Burden,Daily Rate of Change SB,Average Liver DNAm,Variance Liver DNAm,Average Spleen DNAm,Variance Spleen DNAm,Average Blood DNAm,Variance Blood DNAm,BLOOD Change in DNAm per day,Liver CpG 5,Liver CpG 4,Liver CpG 3,Liver CpG 2,Liver CpG 1,Spleen CpG 5,Spleen CpG 4,Spleen CpG 3,Spleen CpG 2,Spleen CpG 1,Blood CpG 5,Blood CpG 4,Blood CpG 3,Blood CpG 2,Blood CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1
3157,Male,20.5,high,9,3.169073667,2.2821915,-0.061930354,0.6,0.3,NA,NA,0.2,0.2,-0.286666667,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3158,Male,21.7,high,8,2.816251667,3.5828935,0.138397063,0.6,0.3,0.2,0.2,0.2,0.2,-1.393333333,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
3159,NA,NA,NA,NA,1.78916225,3.1194855,NA,0.6,0.3,NA,NA,NA,NA,-0.866666667,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
3160,Female,23.5,high,8,1.4317325,1.5291535,NA,0,0,NA,NA,0,0,-0.64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3162,Male,20.4,low,7,1.348354167,2.7850945,0.113145861,0.6,0.3,0.2,0.2,0,0,-0.533333333,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3163,Female,19.6,low,6,1.786309833,2.954923,0.014174317,0.4,0.3,0.4,0.3,0.4,0.3,NA,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,1,0
3166,Female,21.3,low,6,2.0373225,3.181361,0.381346167,0.6,0.3,NA,NA,0.2,0.2,0.233333333,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
3167,Juvenile,21.5,high,8,1.4870255,1.875393,0.064727917,0.8,0.2,NA,NA,0.6,0.3,-0.5,1,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1
3168,Male,22,low,7,1.75888275,2.251912,0.164343083,0.4,0.3,0.6,0.3,0.4,0.3,0.026666667,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
3170,Male,24.3,low,7,2.280875,3.660567,0.306598222,0.6,0.3,0.2,0.2,0.4,0.3,-0.033333333,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
